"study.ID","synopsis","year","study.design.grouped","continent","country","lat","long","language","iso3c","country_wb","gdp_pc_const2015","income","income_group","bii","scenario"
"30","Farmland Conservation",2000,"CI","Europe","United Kingdom",57.804867,-5.455873,"English","GBR","United Kingdom",39297.1366317267,"High income","High",0.427216291427612,"historical"
"30","Marsh and Swamp Conservation",2000,"Rand.exp.","Europe","United Kingdom",57.804867,-5.455873,"English","GBR","United Kingdom",39297.1366317267,"High income","High",0.427216291427612,"historical"
"31","Shrubland and Heathland Conservation",2000,"BACI","Europe","The Netherlands",52.045155,5.871823,"English","NLD","Netherlands",40665.338169599,"High income","High",0.565757989883423,"historical"
"31","Shrubland and Heathland Conservation",2000,"BA","Europe","The Netherlands",52.045155,5.871823,"English","NLD","Netherlands",40665.338169599,"High income","High",0.565757989883423,"historical"
"33","Grassland Conservation",2002,"Rand.exp.","Europe","United Kingdom",52.187247,0.97078,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"33","Farmland Conservation",2002,"After","Europe","United Kingdom",52.187247,0.97078,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"35","Bird Conservation",2002,"BACI","Europe","Finland",0,0,"English","FIN","Finland",39343.0698997627,"High income","High",0.958949506282806,"historical"
"36","Farmland Conservation",2002,"After","Europe","United Kingdom",0,0,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"36","Bird Conservation",2002,"After","Europe","United Kingdom",0,0,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"37","Farmland Conservation",2002,"CI","Europe","United Kingdom",54.683638,-1.820178,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"37","Bird Conservation",2002,"CI","Europe","United Kingdom",54.683638,-1.820178,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"41","Farmland Conservation",1998,"After","Europe","United Kingdom",52.187247,0.97078,"English","GBR","United Kingdom",36773.9287790406,"High income","High",0.421170949935913,"historical"
"42","Farmland Conservation",1997,"Rand.exp.","Europe","United Kingdom",52.613969,0.886402,"English","GBR","United Kingdom",35721.6105928791,"High income","High",0.418148279190063,"historical"
"43","Bird Conservation",2002,"Rand.exp.","North America","United States",39.011902,-98.484246,"English","USA","United States",48729.1586442625,"High income","High",0.685816407203674,"historical"
"46","Terrestrial Mammal Conservation",2003,"After","Oceania","Australia",-27.672817,121.62831,"English","AUS","Australia",48509.6632180363,"High income","High",0.689376592636108,"historical"
"47","Bird Conservation",2004,"After","Europe","Portugal",NA,NA,"English","PRT","Portugal",19137.8370898949,"High income","High",0.745561897754669,"historical"
"47","Bird Conservation",2004,"CI","Europe","Portugal",NA,NA,"English","PRT","Portugal",19137.8370898949,"High income","High",0.745561897754669,"historical"
"48","Reptile Conservation",2004,"BACI","Oceania","Australia",-33.6813183,138.9382331,"English","AUS","Australia",50018.5904483861,"High income","High",0.688787221908569,"historical"
"49","Bird Conservation",2004,"BACI","Europe","United Kingdom",57.104165,-4.892033,"English","GBR","United Kingdom",42434.8209023638,"High income","High",0.42565068602562,"historical"
"51","Terrestrial Mammal Conservation",2004,"After","South America","Brazil",-19.9638007,-40.5428918,"English","BRA","Brazil",7258.78101654079,"Upper middle income","Middle",0.780936181545258,"historical"
"53","Grassland Conservation",2004,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467,"English","GBR","United Kingdom",42434.8209023638,"High income","High",0.42565068602562,"historical"
"57","Bat Conservation",2003,"CI","North America","Canada",53.933271,-116.576504,"English","CAN","Canada",39270.0234577749,"High income","High",0.907761812210083,"historical"
"58","Bird Conservation",2001,"CI","Europe","United Kingdom",57.75,-7,"English","GBR","United Kingdom",40082.1359356822,"High income","High",0.42857301235199,"historical"
"60","Marsh and Swamp Conservation",2003,"CI","North America","United States",32.157435,-82.907123,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"60","Reptile Conservation",2003,"CI","North America","United States",32.157435,-82.907123,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"60","Amphibian Conservation",2003,"CI","North America","United States",32.157435,-82.907123,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"61","Terrestrial Mammal Conservation",2002,"After","Europe","United Kingdom",52.276193,0.096538,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"63","Bee Conservation",2005,"CI","Europe","United Kingdom",52.355468,-1.17148,"English","GBR","United Kingdom",43320.5628684438,"High income","High",0.428221583366394,"historical"
"63","Bee Conservation",2005,"CI","Europe","United Kingdom",52.355468,-1.17148,"English","GBR","United Kingdom",43320.5628684438,"High income","High",0.428221583366394,"historical"
"63","Farmland Conservation",2005,"CI","Europe","United Kingdom",52.355468,-1.17148,"English","GBR","United Kingdom",43320.5628684438,"High income","High",0.428221583366394,"historical"
"65","Bird Conservation",1998,"BACI","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",36773.9287790406,"High income","High",0.421170949935913,"historical"
"65","Farmland Conservation",1998,"BACI","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",36773.9287790406,"High income","High",0.421170949935913,"historical"
"68","Bird Conservation",2001,"BA","North America","Canada",52.939916,-73.549136,"English","CAN","Canada",38200.456120621,"High income","High",0.908306539058685,"historical"
"70","Bird Conservation",2001,"CI","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",40082.1359356822,"High income","High",0.42857301235199,"historical"
"70","Farmland Conservation",2001,"CI","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",40082.1359356822,"High income","High",0.42857301235199,"historical"
"72","Bird Conservation",2001,"CI","Europe","United Kingdom",55.161813,-3.473314,"English","GBR","United Kingdom",40082.1359356822,"High income","High",0.42857301235199,"historical"
"73","Butterfly and Moth Conservation",2001,"BACI","Europe","Sweden",58.3356809,15.7460192,"English","SWE","Sweden",42014.4022302506,"High income","High",0.929577052593231,"historical"
"74","Farmland Conservation",2001,"After","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",40082.1359356822,"High income","High",0.42857301235199,"historical"
"77","Bird Conservation",2003,"CI","Oceania","New Zealand",0,0,"English","NZL","New Zealand",33517.0893271345,"High income","High",0.598299324512482,"historical"
"78","Farmland Conservation",1994,"CI","Europe","United Kingdom",51.761206,-1.246467,"English","GBR","United Kingdom",32308.7952722115,"High income","High",0.409080266952514,"historical"
"80","Bird Conservation",1996,"CI","Oceania","New Zealand",-45.848916,167.675539,"English","NZL","New Zealand",28576.4399807986,"High income","High",0.538141143321991,"historical"
"84","Bee Conservation",2005,"After","Europe","United Kingdom",53.481518,-1.260882,"English","GBR","United Kingdom",43320.5628684438,"High income","High",0.428221583366394,"historical"
"88","Bird Conservation",1996,"After","Europe","United Kingdom",57.583697,-3.875126,"English","GBR","United Kingdom",34147.3459054033,"High income","High",0.415125608444214,"historical"
"91","Bird Conservation",1996,"BA","Europe","United Kingdom",57.104165,-4.892033,"English","GBR","United Kingdom",34147.3459054033,"High income","High",0.415125608444214,"historical"
"92","Bird Conservation",1997,"After","Africa","Uganda",NA,NA,"English","UGA","Uganda",478.250663988847,"Low income","Low",0.622144401073456,"historical"
"94","Bird Conservation",1998,"After","Europe","United Kingdom",52.276193,0.096538,"English","GBR","United Kingdom",36773.9287790406,"High income","High",0.421170949935913,"historical"
"96","Marsh and Swamp Conservation",1998,"CI","Europe","Denmark",56.830742,9.493053,"English","DNK","Denmark",46437.1921069175,"High income","High",0.448061245679856,"historical"
"96","Bird Conservation",1998,"CI","Europe","Denmark",56.830742,9.493053,"English","DNK","Denmark",46437.1921069175,"High income","High",0.448061245679856,"historical"
"98","Terrestrial Mammal Conservation",1999,"After","Europe","United Kingdom",53.969009,-2.627691,"English","GBR","United Kingdom",37730.7155591161,"High income","High",0.424193620681762,"historical"
"99","Reptile Conservation",2003,"After","Asia","Indonesia",3.35468,117.59654,"English","IDN","Indonesia",1991.91820506473,"Upper middle income","Middle",0.755313158035278,"historical"
"102","Reptile Conservation",1994,"BA","Oceania","New Zealand",-41.0900957,174.7811621,"English","NZL","New Zealand",27151.4717124485,"High income","High",0.535960364341736,"historical"
"106","Bird Conservation",2005,"After","Asia","China, P.R.",30.266292,120.153823,"English","CHN","China",3465.81734409951,"Upper middle income","Middle",0.631071627140045,"historical"
"107","Farmland Conservation",1995,"Rand.exp.","Europe","Czech Republic",50.037964,13.872414,"English","CZE","Czechia",11453.3800188807,"High income","High",0.597254723310471,"historical"
"110","Bird Conservation",2000,"After","South America","Peru",-11.76687,-70.811995,"English","PER","Peru",3286.27308475523,"Upper middle income","Middle",0.9200439453125,"historical"
"113","Amphibian Conservation",2004,"BACI","North America","United States",36.778261,-119.417932,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"116","Farmland Conservation",1999,"After","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",37730.7155591161,"High income","High",0.424193620681762,"historical"
"118","Bird Conservation",2000,"BA","Europe","United Kingdom",0,0,"English","GBR","United Kingdom",39297.1366317267,"High income","High",0.427216291427612,"historical"
"119","Bird Conservation",2003,"After","North America","United States",43.804133,-120.554201,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"123","Bird Conservation",2005,"CI","North America","Canada",64.825544,-124.845733,"English","CAN","Canada",41006.2229523971,"High income","High",0.907230377197266,"historical"
"130","Bird Conservation",2003,"BACI","Europe","Spain",NA,NA,"English","ESP","Spain",25481.1653690112,"High income","High",0.658172070980072,"historical"
"131","Bird Conservation",2003,"After","North America","United States",40.551217,-85.602364,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"133","Forest Conservation",2005,"CI","Asia","China, P.R.",0,0,"English","CHN","China",3465.81734409951,"Upper middle income","Middle",0.631071627140045,"historical"
"136","Terrestrial Mammal Conservation",2005,"BACI","Europe","United Kingdom",51.761206,-1.246467,"English","GBR","United Kingdom",43320.5628684438,"High income","High",0.428221583366394,"historical"
"141","Bat Conservation",2006,"After","Europe","Spain",41.8486553,-1.6606814,"English","ESP","Spain",26899.0921497113,"High income","High",0.664062976837158,"historical"
"143","Bird Conservation",2005,"BA","Asia","Japan",26.212401,127.680932,"English","JPN","Japan",33098.5474664881,"High income","High",0.87421840429306,"historical"
"144","Bird Conservation",2003,"After","North America","United States",19.896766,-155.582782,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"147","Bird Conservation",2005,"After","Europe","Estonia",NA,NA,"English","EST","Estonia",14703.6179707772,"High income","High",0.878377020359039,"historical"
"148","Bird Conservation",2001,"After","North America","United States",NA,NA,"English","USA","United States",48361.0167607073,"High income","High",0.684849977493286,"historical"
"151","Terrestrial Mammal Conservation",1996,"Rand.exp.","North America","United States",40.417287,-82.907123,"English","USA","United States",42575.6896936773,"High income","High",0.684409368038177,"historical"
"157","Terrestrial Mammal Conservation",2005,"After","Europe","Russia",47.720784,136.9856651,"English","RUS","Russian Federation",7323.38525390625,"High income","High",0.88001561164856,"historical"
"158","Amphibian Conservation",1995,"After","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",33362.0161272507,"High income","High",0.412102937698364,"historical"
"158","Amphibian Conservation",1995,"BA","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",33362.0161272507,"High income","High",0.412102937698364,"historical"
"159","Amphibian Conservation",2004,"After","Europe","France",47.763284,-0.329969,"English","FRA","France",34557.1471111581,"High income","High",0.608365535736084,"historical"
"168","Bird Conservation",2005,"CI","North America","United States",47.817438,-94.004742,"English","USA","United States",52393.4513113092,"High income","High",0.68662440776825,"historical"
"169","Bird Conservation",2003,"CI","North America","United States",47.551493,-101.002012,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"170","Bird Conservation",2003,"CI","North America","United States",47.551493,-101.002012,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"171","Bird Conservation",2006,"BA","Oceania","Australia",-31.253218,146.921099,"English","AUS","Australia",51682.8925230537,"High income","High",0.689337730407715,"historical"
"171","Bird Conservation",2006,"After","Oceania","Australia",-31.253218,146.921099,"English","AUS","Australia",51682.8925230537,"High income","High",0.689337730407715,"historical"
"172","Bee Conservation",2006,"After","Europe","Switzerland",46.7998124,8.2355466,"English","CHE","Switzerland",78893.8078199046,"High income","High",0.633876323699951,"historical"
"172","Farmland Conservation",2006,"CI","Europe","Switzerland",46.7998124,8.2355466,"English","CHE","Switzerland",78893.8078199046,"High income","High",0.633876323699951,"historical"
"174","Bird Conservation",2006,"Rand.exp.","North America","Canada",53.933271,-116.576504,"English","CAN","Canada",41663.5123057295,"High income","High",0.906920254230499,"historical"
"176","Farmland Conservation",2003,"Rand.exp.","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",41706.8303930126,"High income","High",0.428519397974014,"historical"
"176","Bird Conservation",2003,"Rand.exp.","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",41706.8303930126,"High income","High",0.428519397974014,"historical"
"178","Bird Conservation",2005,"CI","Europe","Italy",37.39793,14.658782,"English","ITA","Italy",33407.6754716472,"High income","High",0.622938394546509,"historical"
"178","Bird Conservation",2005,"After","Europe","Italy",37.39793,14.658782,"English","ITA","Italy",33407.6754716472,"High income","High",0.622938394546509,"historical"
"179","Amphibian Conservation",2001,"BA","Europe","United Kingdom",NA,NA,"English","GBR","United Kingdom",40082.1359356822,"High income","High",0.42857301235199,"historical"
"180","Amphibian Conservation",2004,"CI","North America","United States",44.391867,-93.480596,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"184","Terrestrial Mammal Conservation",2005,"After","North America","United States",46.8779552,-110.3749738,"English","USA","United States",52393.4513113092,"High income","High",0.68662440776825,"historical"
"186","Bird Conservation",2004,"After","Africa","Mauritius",0,0,"English","MUS","Mauritius",6480.13648507258,"Upper middle income","Middle",0.505887746810913,"historical"
"190","Amphibian Conservation",2004,"CI","Oceania","Australia",-31.253218,146.921099,"English","AUS","Australia",50018.5904483861,"High income","High",0.688787221908569,"historical"
"191","Amphibian Conservation",2004,"After","North America","United States",27.664827,-81.515754,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"191","Terrestrial Mammal Conservation",2004,"After","North America","United States",27.664827,-81.515754,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"191","Reptile Conservation",2004,"After","North America","United States",27.664827,-81.515754,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"191","Amphibian Conservation",2004,"BACI","North America","United States",27.664827,-81.515754,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"191","Terrestrial Mammal Conservation",2004,"BACI","North America","United States",27.664827,-81.515754,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"197","Farmland Conservation",2005,"After","Europe","United Kingdom",0,0,"English","GBR","United Kingdom",43320.5628684438,"High income","High",0.428221583366394,"historical"
"204","Terrestrial Mammal Conservation",2000,"CI","Europe","France",47.4146124,-1.6524211,"English","FRA","France",33255.1379642335,"High income","High",0.605837345123291,"historical"
"205","Bird Conservation",2001,"CI","Oceania","New Zealand",NA,NA,"English","NZL","New Zealand",31718.7628389095,"High income","High",0.541875064373016,"historical"
"206","Bird Conservation",2003,"BA","North America","Mexico",26.044445,-111.666072,"English","MEX","Mexico",9221.99666693097,"Upper middle income","Middle",0.739423930644989,"historical"
"207","Bird Conservation",1999,"After","Asia","Saudi Arabia",0,0,"English","SAU","Saudi Arabia",22214.4256445476,"High income","High",0.694909983873367,"historical"
"208","Reptile Conservation",2005,"CI","North America","United States",33.836081,-81.163725,"English","USA","United States",52393.4513113092,"High income","High",0.68662440776825,"historical"
"208","Reptile Conservation",2005,"After","North America","United States",33.836081,-81.163725,"English","USA","United States",52393.4513113092,"High income","High",0.68662440776825,"historical"
"210","Bird Conservation",2005,"BA","Europe","Spain",0,0,"English","ESP","Spain",26294.447384391,"High income","High",0.665820419788361,"historical"
"211","Farmland Conservation",2002,"Rand.exp.","Europe","United Kingdom",59.062668,-2.868778,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"211","Bird Conservation",2002,"Rand.exp.","Europe","United Kingdom",59.062668,-2.868778,"English","GBR","United Kingdom",40594.932929345,"High income","High",0.427350670099258,"historical"
"213","Reptile Conservation",2001,"After","North America","Saint Lucia",13.877088,-60.8885604,"English","LCA","St. Lucia",8795.54582090658,"Upper middle income","Middle",NA,NA
"214","Bird Conservation",1992,"After","Africa","Mauritius",NA,NA,"English","MUS","Mauritius",4191.74021836504,"Upper middle income","Middle",0.503306376934052,"historical"
"214","Bird Conservation",1992,"BA","Africa","Mauritius",NA,NA,"English","MUS","Mauritius",4191.74021836504,"Upper middle income","Middle",0.503306376934052,"historical"
"217","Terrestrial Mammal Conservation",2006,"CI","North America","United States",39.32098,-111.093731,"English","USA","United States",53335.5896950225,"High income","High",0.687957048416138,"historical"
"218","Reptile Conservation",2006,"CI","Europe","Greece",38.175368,20.569218,"English","GRC","Greece",23220.5324419197,"High income","High",0.657085716724396,"historical"
"221","Bird Conservation",2004,"CI","South America","Argentina",-26.585766,-60.954007,"English","ARG","Argentina",10302.4465316428,"Upper middle income","Middle",0.752348959445953,"historical"
"222","Reptile Conservation",2006,"BA","North America","Mexico",21.751384,-104.845462,"English","MEX","Mexico",9813.8280424425,"Upper middle income","Middle",0.73965048789978,"historical"
"222","Bird Conservation",2006,"BA","North America","Mexico",21.751384,-104.845462,"English","MEX","Mexico",9813.8280424425,"Upper middle income","Middle",0.73965048789978,"historical"
"223","Shrubland and Heathland Conservation",2006,"Rand.exp.","Europe","United Kingdom",51.168857,0.3040572,"English","GBR","United Kingdom",43944.9985799069,"High income","High",0.406732738018036,"historical"
"226","Reptile Conservation",2002,"CI","Oceania","New Zealand",-41.57269,173.421661,"English","NZL","New Zealand",32641.8202163485,"High income","High",0.595024108886719,"historical"
"226","Reptile Conservation",2002,"After","Oceania","New Zealand",-41.57269,173.421661,"English","NZL","New Zealand",32641.8202163485,"High income","High",0.595024108886719,"historical"
"235","Bat Conservation",2004,"After","Europe","Portugal",38.015625,-7.865235,"English","PRT","Portugal",19137.8370898949,"High income","High",0.745561897754669,"historical"
"241","Bird Conservation",2004,"After","North America","United States",NA,NA,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"242","Bird Conservation",2003,"Rand.exp.","Oceania","New Zealand",-36.84846,174.763331,"English","NZL","New Zealand",33517.0893271345,"High income","High",0.598299324512482,"historical"
"247","Shrubland and Heathland Conservation",2004,"Rand.exp.","Europe","United Kingdom",57.1954297,-2.2019766,"English","GBR","United Kingdom",42434.8209023638,"High income","High",0.42565068602562,"historical"
"250","Bird Conservation",2006,"BA","Europe","Spain",0,0,"English","ESP","Spain",26899.0921497113,"High income","High",0.664062976837158,"historical"
"254","Butterfly and Moth Conservation",2000,"CI","North America","United States",33.836081,-81.163725,"English","USA","United States",48379.7551705781,"High income","High",0.685150921344757,"historical"
"255","Reptile Conservation",2003,"After","North America","Mexico",19.3750309,-105.0090591,"English","MEX","Mexico",9221.99666693097,"Upper middle income","Middle",0.739423930644989,"historical"
"255","Reptile Conservation",2003,"BA","North America","Mexico",19.3750309,-105.0090591,"English","MEX","Mexico",9221.99666693097,"Upper middle income","Middle",0.739423930644989,"historical"
"256","Butterfly and Moth Conservation",2003,"CI","North America","United States",43.804133,-120.554201,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"260","Bird Conservation",2002,"After","North America","Puerto Rico",0,0,"English","PRI","Puerto Rico (US)",27940.3826219734,NA,"High",0.528787672519684,"historical"
"260","Bird Conservation",2002,"CI","North America","Puerto Rico",0,0,"English","PRI","Puerto Rico (US)",27940.3826219734,NA,"High",0.528787672519684,"historical"
"261","Bird Conservation",2003,"Rand.exp.","Europe","United Kingdom",57.104165,-4.892033,"English","GBR","United Kingdom",41706.8303930126,"High income","High",0.428519397974014,"historical"
"263","Terrestrial Mammal Conservation",2003,"After","Oceania","Australia",-27.672817,121.62831,"English","AUS","Australia",48509.6632180363,"High income","High",0.689376592636108,"historical"
"268","Terrestrial Mammal Conservation",2006,"BACI","Oceania","Australia",-27.672817,121.62831,"English","AUS","Australia",51682.8925230537,"High income","High",0.689337730407715,"historical"
"270","Bird Conservation",2002,"Rand.exp.","Europe","Norway",0,0,"English","NOR","Norway",69472.9836807311,"High income","High",0.950371265411377,"historical"
"271","Bird Conservation",2002,"CI","Africa","South Africa",0,0,"English","ZAF","South Africa",4916.81498068625,"Upper middle income","Middle",0.585176408290863,"historical"
"272","Forest Conservation",2002,"CI","Europe","Poland",49.902124,19.700719,"English","POL","Poland",7640.99307757777,"High income","High",0.655784666538239,"historical"
"274","Bird Conservation",2002,"CI","North America","United States",43.78444,-88.787868,"English","USA","United States",48729.1586442625,"High income","High",0.685816407203674,"historical"
"276","Reptile Conservation",2000,"After","Africa","Madagascar",-16.3913318,45.4498065,"English","MDG","Madagascar",465.529509827021,"Low income","Low",0.591811895370483,"historical"
"276","Reptile Conservation",2000,"CI","Africa","Madagascar",-16.3913318,45.4498065,"English","MDG","Madagascar",465.529509827021,"Low income","Low",0.591811895370483,"historical"
"278","Reptile Conservation",2000,"After","Oceania","Australia",-31.253218,146.921099,"English","AUS","Australia",45979.0765654048,"High income","High",0.686607480049133,"historical"
"280","Terrestrial Mammal Conservation",2000,"CI","Asia","Israel",32.3692087,34.8583531,"English","ISR","Israel",29413.4894578106,"High income","High",0.93315577507019,"historical"
"282","Bird Conservation",2001,"BACI","Europe","Norway",61.553944,6.332588,"English","NOR","Norway",68899.5268987833,"High income","High",0.950193285942078,"historical"
"283","Bird Conservation",2002,"CI","North America","United States",NA,NA,"English","USA","United States",48729.1586442625,"High income","High",0.685816407203674,"historical"
"285","Shrubland and Heathland Conservation",2000,"CI","Europe","United Kingdom",52.613969,0.886402,"English","GBR","United Kingdom",39297.1366317267,"High income","High",0.427216291427612,"historical"
"288","Bird Conservation",2000,"CI","North America","United States",40.633125,-89.398528,"English","USA","United States",48379.7551705781,"High income","High",0.685150921344757,"historical"
"292","Bird Conservation",2006,"CI","North America","United States",40.633125,-89.398528,"English","USA","United States",53335.5896950225,"High income","High",0.687957048416138,"historical"
"296","Bird Conservation",2003,"BA","North America","United States",NA,NA,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"298","Shrubland and Heathland Conservation",2003,"BA","North America","United States",31.5512023,-110.1405592,"English","USA","United States",49662.7520549839,"High income","High",0.685447096824646,"historical"
"300","Bird Conservation",2005,"After","Europe","Portugal",0,0,"English","PRT","Portugal",19251.71450683,"High income","High",0.749505221843719,"historical"
"301","Peatland Conservation",2003,"BACI","Oceania","New Zealand",-37.746662,175.42129,"English","NZL","New Zealand",33517.0893271345,"High income","High",0.598299324512482,"historical"
"303","Bird Conservation",2002,"Rand.exp.","North America","United States",33.836081,-81.163725,"English","USA","United States",48729.1586442625,"High income","High",0.685816407203674,"historical"
"304","Reptile Conservation",2001,"CI","North America","United States",31.968599,-99.901813,"English","USA","United States",48361.0167607073,"High income","High",0.684849977493286,"historical"
"305","Butterfly and Moth Conservation",2001,"CI","North America","United States",41.8780025,-93.097702,"English","USA","United States",48361.0167607073,"High income","High",0.684849977493286,"historical"
"312","Bird Conservation",1999,"After","Asia","Israel",NA,NA,"English","ISR","Israel",27814.0260563783,"High income","High",0.93367178440094,"historical"
"314","Terrestrial Mammal Conservation",2002,"After","Asia","China, P.R.",32.061707,118.763232,"English","CHN","China",2610.72960252379,"Upper middle income","Middle",0.633105993270874,"historical"
"319","Bird Conservation",2004,"CI","North America","United States",63.588753,-154.493062,"English","USA","United States",51098.5573007417,"High income","High",0.686720550060272,"historical"
"320","Reptile Conservation",2000,"CI","North America","United States",39.045755,-76.641271,"English","USA","United States",48379.7551705781,"High income","High",0.685150921344757,"historical"
"321","Bird Conservation",1996,"CI","North America","United States",63.588753,-154.493062,"English","USA","United States",42575.6896936773,"High income","High",0.684409368038177,"historical"
"322","Bird Conservation",2001,"After","Asia","Indonesia",-0.589724,101.343106,"English","IDN","Indonesia",1868.59172307292,"Upper middle income","Middle",0.765893518924713,"historical"
"324","Reptile Conservation",2005,"Rand.exp.","North America","United States",34.048928,-111.093731,"English","USA","United States",52393.4513113092,"High income","High",0.68662440776825,"historical"
"325","Marsh and Swamp Conservation",2006,"After","North America","United States",46.729553,-94.6859,"English","USA","United States",53335.5896950225,"High income","High",0.687957048416138,"historical"
"325","Marsh and Swamp Conservation",2006,"Rand.exp.","North America","United States",46.729553,-94.6859,"English","USA","United States",53335.5896950225,"High income","High",0.687957048416138,"historical"
"326","Terrestrial Mammal Conservation",2001,"After","South America","Brazil",-13.8346952,-48.304156,"English","BRA","Brazil",6823.0331851176,"Upper middle income","Middle",0.782866716384888,"historical"
