"study.ID","synopsis","year","study.design.grouped","continent","country","lat","long"
"222","Reptile Conservation",2006,"BA","North America","Mexico",21.751384,-104.845462
"222","Bird Conservation",2006,"BA","North America","Mexico",21.751384,-104.845462
"223","Shrubland and Heathland Conservation",2006,"Rand.exp.","Europe","United Kingdom",51.168857,0.3040572
"226","Reptile Conservation",2002,"CI","Oceania","New Zealand",-41.57269,173.421661
"226","Reptile Conservation",2002,"After","Oceania","New Zealand",-41.57269,173.421661
"235","Bat Conservation",2004,"After","Europe","Portugal",38.015625,-7.865235
"241","Bird Conservation",2004,"After","North America","United States",NA,NA
"242","Bird Conservation",2003,"Rand.exp.","Oceania","New Zealand",-36.84846,174.763331
"247","Shrubland and Heathland Conservation",2004,"Rand.exp.","Europe","United Kingdom",57.1954297,-2.2019766
"250","Bird Conservation",2006,"BA","Europe","Spain",0,0
"254","Butterfly and Moth Conservation",2000,"CI","North America","United States",33.836081,-81.163725
"255","Reptile Conservation",2003,"After","North America","Mexico",19.3750309,-105.0090591
"255","Reptile Conservation",2003,"BA","North America","Mexico",19.3750309,-105.0090591
"256","Butterfly and Moth Conservation",2003,"CI","North America","United States",43.804133,-120.554201
"260","Bird Conservation",2002,"After","North America","Puerto Rico",0,0
"260","Bird Conservation",2002,"CI","North America","Puerto Rico",0,0
"261","Bird Conservation",2003,"Rand.exp.","Europe","United Kingdom",57.104165,-4.892033
"263","Terrestrial Mammal Conservation",2003,"After","Oceania","Australia",-27.672817,121.62831
"268","Terrestrial Mammal Conservation",2006,"BACI","Oceania","Australia",-27.672817,121.62831
"270","Bird Conservation",2002,"Rand.exp.","Europe","Norway",0,0
"271","Bird Conservation",2002,"CI","Africa","South Africa",0,0
"272","Forest Conservation",2002,"CI","Europe","Poland",49.902124,19.700719
"274","Bird Conservation",2002,"CI","North America","United States",43.78444,-88.787868
"276","Reptile Conservation",2000,"After","Africa","Madagascar",-16.3913318,45.4498065
"276","Reptile Conservation",2000,"CI","Africa","Madagascar",-16.3913318,45.4498065
"277","Primate Conservation",2000,"After","South America","French Guyana",0,0
"278","Reptile Conservation",2000,"After","Oceania","Australia",-31.253218,146.921099
"280","Terrestrial Mammal Conservation",2000,"CI","Asia","Israel",32.3692087,34.8583531
"282","Bird Conservation",2001,"BACI","Europe","Norway",61.553944,6.332588
"283","Bird Conservation",2002,"CI","North America","United States",NA,NA
"285","Shrubland and Heathland Conservation",2000,"CI","Europe","United Kingdom",52.613969,0.886402
"288","Bird Conservation",2000,"CI","North America","United States",40.633125,-89.398528
"292","Bird Conservation",2006,"CI","North America","United States",40.633125,-89.398528
"296","Bird Conservation",2003,"BA","North America","United States",NA,NA
"298","Shrubland and Heathland Conservation",2003,"BA","North America","United States",31.5512023,-110.1405592
"300","Bird Conservation",2005,"After","Europe","Portugal",0,0
"301","Peatland Conservation",2003,"BACI","Oceania","New Zealand",-37.746662,175.42129
"303","Bird Conservation",2002,"Rand.exp.","North America","United States",33.836081,-81.163725
"304","Reptile Conservation",2001,"CI","North America","United States",31.968599,-99.901813
"305","Butterfly and Moth Conservation",2001,"CI","North America","United States",41.8780025,-93.097702
"312","Bird Conservation",1999,"After","Asia","Israel",NA,NA
"314","Terrestrial Mammal Conservation",2002,"After","Asia","China, P.R.",32.061707,118.763232
"319","Bird Conservation",2004,"CI","North America","United States",63.588753,-154.493062
"320","Reptile Conservation",2000,"CI","North America","United States",39.045755,-76.641271
"321","Bird Conservation",1996,"CI","North America","United States",63.588753,-154.493062
"322","Bird Conservation",2001,"After","Asia","Indonesia",-0.589724,101.343106
"324","Reptile Conservation",2005,"Rand.exp.","North America","United States",34.048928,-111.093731
"325","Marsh and Swamp Conservation",2006,"After","North America","United States",46.729553,-94.6859
"325","Marsh and Swamp Conservation",2006,"Rand.exp.","North America","United States",46.729553,-94.6859
"326","Terrestrial Mammal Conservation",2001,"After","South America","Brazil",-13.8346952,-48.304156
"327","Reptile Conservation",2005,"BACI","Europe","Sweden",59.6942276,13.8902209
"338","Bird Conservation",1997,"After","NA","NA",NA,NA
"366","Grassland Conservation",2005,"Rand.exp.","North America","Canada",64.825544,-124.845733
"369","Marsh and Swamp Conservation",2005,"Rand.exp.","North America","United States",31.244823,-92.145024
"370","Forest Conservation",2005,"Rand.exp.","South America","Brazil",-29.534505,-53.390607
"376","Forest Conservation",2005,"CI","North America","United States",40.382435,-120.569143
"378","Shrubland and Heathland Conservation",2005,"Rand.exp.","Africa","South Africa",-33.227792,21.856859
"380","Marsh and Swamp Conservation",2005,"Rand.exp.","North America","United States",35.517491,-86.580447
"381","Bird Conservation",2006,"After","North America","United States",42.407211,-71.382437
"392","Marsh and Swamp Conservation",2005,"CI","North America","United States",39.011902,-98.484246
"412","Shrubland and Heathland Conservation",2004,"CI","Europe","Iceland",63.8469241,-20.2938545
"415","Forest Conservation",2004,"Rand.exp.","North America","United States",37.6326099,-88.5579622
"420","Grassland Conservation",2003,"Rand.exp.","Europe","United Kingdom",51.430921,-0.09365
"429","Shrubland and Heathland Conservation",2003,"Rand.exp.","Africa","South Africa",-32.8710064,19.8915005
"434","Mediterranean Farmland",2003,"Rand.exp.","Europe","Spain",40.416691,-3.700345
"435","Bird Conservation",2006,"Rand.exp.","North America","United States",35.20105,-91.831833
"441","Grassland Conservation",2006,"CI","North America","United States",41.878003,-93.097702
"442","Terrestrial Mammal Conservation",2006,"After","Europe","The Netherlands",52.7260165,5.9621294
"443","Bird Conservation",2006,"After","South America","Peru",-11.76687,-70.811995
"450","Bird Conservation",2006,"CI","Europe","Spain",41.835682,-4.397636
"451","Grassland Conservation",2006,"CI","North America","United States",36.778261,-119.417932
"452","Bird Conservation",2006,"CI","Europe","Spain",0,0
"455","Terrestrial Mammal Conservation",2006,"Rand.exp.","Europe","United Kingdom",56.2641688,-4.3932235
"471","Bird Conservation",2006,"CI","North America","United States",31.244823,-92.145024
"472","Farmland Conservation",2004,"BACI","Europe","France",0,0
"472","Bird Conservation",2004,"BACI","Europe","France",0,0
"475","Subtidal Benthic Invertebrate Conservation",2004,"CI","Europe","United Kingdom",50.777213,-3.999461
"477","Marsh and Swamp Conservation",2004,"Rand.exp.","Oceania","Australia",-19.491411,132.55096
"491","Bird Conservation",2002,"Rand.exp.","North America","United States",36.778261,-119.417932
"492","Farmland Conservation",2002,"CI","Europe","United Kingdom",NA,NA
"492","Bird Conservation",2002,"CI","Europe","United Kingdom",NA,NA
"498","Marsh and Swamp Conservation",2002,"BA","North America","United States",46.729553,-94.6859
"499","Terrestrial Mammal Conservation",2001,"After","North America","Canada",53.933271,-116.576504
"505","Farmland Conservation",2001,"After","Europe","United Kingdom",55.37874,-3.461249
"507","Marsh and Swamp Conservation",2003,"BA","North America","United States",46.729553,-94.6859
"507","Marsh and Swamp Conservation",2003,"Rand.exp.","North America","United States",46.729553,-94.6859
"508","Farmland Conservation",2001,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467
"510","Marsh and Swamp Conservation",2000,"BACI","North America","United States",46.729553,-94.6859
"510","Marsh and Swamp Conservation",2000,"BACI","North America","United States",46.729553,-94.6859
"510","Marsh and Swamp Conservation",2000,"BA","North America","United States",46.729553,-94.6859
"511","Farmland Conservation",2000,"After","Europe","United Kingdom",54.2013972,-2.3477257
"512","Shrubland and Heathland Conservation",2000,"CI","Europe","United Kingdom",53.473518,-2.913271
"512","Shrubland and Heathland Conservation",2000,"BA","Europe","United Kingdom",53.473518,-2.913271
"513","Mediterranean Farmland",2000,"Rand.exp.","Asia","Israel",0,0
"514","Natural Pest Control",2000,"CI","Europe","United Kingdom",51.504492,-1.128519
"517","Peatland Conservation",1999,"BACI","Europe","Finland",61.8,24.3
"519","Bird Conservation",1999,"Rand.exp.","Oceania","Australia",-30.000232,136.209155
"526","Farmland Conservation",1999,"CI","Europe","Denmark",56.262728,9.506132
"529","Shrubland and Heathland Conservation",1998,"Rand.exp.","Europe","United Kingdom",52.6207845,1.2419865
"531","Farmland Conservation",1998,"CI","Europe","Sweden",59.686367,17.067217
"532","Peatland Conservation",1998,"Rand.exp.","Europe","Switzerland",46.97,6.75
"533","Farmland Conservation",1998,"CI","Europe","Switzerland",46.947922,7.444608
"535","Shrubland and Heathland Conservation",1998,"Rand.exp.","Europe","United Kingdom",52.2681644,1.6208724
"538","Bird Conservation",1998,"CI","Europe","United Kingdom",51.089479,-1.213589
"538","Farmland Conservation",1998,"CI","Europe","United Kingdom",51.089479,-1.213589
"542","Farmland Conservation",1997,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467
"548","Terrestrial Mammal Conservation",2007,"CI","North America","United States",45.0090839,-109.2646238
"549","Terrestrial Mammal Conservation",2006,"After","North America","United States",34.048928,-111.093731
"550","Terrestrial Mammal Conservation",2006,"CI","North America","United States",45.0090839,-109.2646238
"566","Bird Conservation",1996,"CI","Europe","United Kingdom",56.533178,-3.956176
"567","Terrestrial Mammal Conservation",1996,"After","Europe","Norway",61.396731,11.562737
"577","Farmland Conservation",1996,"After","Europe","United Kingdom",54.6700254,-2.2201291
"577","Farmland Conservation",1996,"Rand.exp.","Europe","United Kingdom",54.6700254,-2.2201291
"578","Farmland Conservation",1996,"CI","Europe","United Kingdom",51.246271,-1.992213
"578","Bird Conservation",1996,"CI","Europe","United Kingdom",51.246271,-1.992213
"583","Reptile Conservation",2007,"BACI","North America","United States",32.354668,-89.398528
"584","Terrestrial Mammal Conservation",2007,"CI","North America","United States",44.314844,-85.602364
"585","Farmland Conservation",1996,"After","Europe","United Kingdom",56.1337934,-3.4428559
"587","Farmland Conservation",1996,"After","Europe","United Kingdom",51.761206,-1.246467
"587","Butterfly and Moth Conservation",1996,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467
"588","Grassland Conservation",1996,"Rand.exp.","Europe","United Kingdom",50.8377865,-0.0476386
"589","Farmland Conservation",1996,"CI","Europe","United Kingdom",56.208208,-3.149518
"595","Terrestrial Mammal Conservation",2004,"Rand.exp.","North America","United States",47.7424541,-123.3040062
"597","Shrubland and Heathland Conservation",1995,"Rand.exp.","Europe","United Kingdom",50.739066,-2.338235
"598","Shrubland and Heathland Conservation",1995,"CI","Europe","United Kingdom",57.162143,-2.719417
"601","Butterfly and Moth Conservation",1994,"CI","Europe","United Kingdom",56.9924463,-3.3244324
"603","Terrestrial Mammal Conservation",1994,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467
"607","Bird Conservation",1994,"After","North America","United States",40.714353,-74.005973
"609","Farmland Conservation",1994,"After","Europe","The Netherlands",52.947601,6.623059
"614","Butterfly and Moth Conservation",1993,"CI","Europe","Germany",49.02,10.76
"615","Bird Conservation",1993,"CI","Europe","United Kingdom",55.994235,-5.444033
"615","Farmland Conservation",1993,"CI","Europe","United Kingdom",55.994235,-5.444033
"620","Bird Conservation",2006,"BA","North America","United States",36.778261,-119.417932
"622","Natural Pest Control",1992,"Rand.exp.","Europe","United Kingdom",51.761206,-1.246467
"623","Shrubland and Heathland Conservation",1992,"Rand.exp.","Europe","United Kingdom",52.187247,0.97078
"625","Shrubland and Heathland Conservation",1992,"Rand.exp.","Europe","United Kingdom",52.187247,0.97078
"628","Marsh and Swamp Conservation",1992,"Rand.exp.","Europe","United Kingdom",52.733676,1.60465
"628","Marsh and Swamp Conservation",1992,"CI","Europe","United Kingdom",52.733676,1.60465
"630","Farmland Conservation",1992,"CI","Europe","United Kingdom",60.34416,-1.256425
"630","Bird Conservation",1992,"CI","Europe","United Kingdom",60.34416,-1.256425
"631","Bird Conservation",1992,"After","Europe","United Kingdom",60.34416,-1.256425
"631","Farmland Conservation",1992,"After","Europe","United Kingdom",60.34416,-1.256425
"632","Bird Conservation",1992,"After","Europe","United Kingdom",NA,NA
"632","Farmland Conservation",1992,"After","Europe","United Kingdom",NA,NA
"645","Farmland Conservation",1991,"Rand.exp.","Europe","United Kingdom",50.692718,-1.31671
"645","Natural Pest Control",1991,"Rand.exp.","Europe","United Kingdom",50.692718,-1.31671
"646","Farmland Conservation",1991,"CI","Europe","United Kingdom",50.692718,-1.31671
"647","Farmland Conservation",1991,"After","Europe","The Netherlands",52.947601,6.623059
"652","Bird Conservation",1990,"Rand.exp.","North America","United States",40.633125,-89.398528
"658","Bat Conservation",1989,"After","Europe","United Kingdom",52.187247,0.97078
"667","Bird Conservation",2003,"After","Europe","France",43.591236,3.258363
"667","Bird Conservation",2003,"CI","Europe","France",43.591236,3.258363
"669","Marsh and Swamp Conservation",1988,"After","North America","Canada",53.760861,-98.813876
"671","Bird Conservation",1987,"BA","Europe","United Kingdom",51.260145,0.84428
"673","Farmland Conservation",1987,"CI","Europe","United Kingdom",53.969009,-2.627691
"675","Shrubland and Heathland Conservation",1987,"BACI","Europe","United Kingdom",52.187247,0.97078
"676","Farmland Conservation",2005,"CI","Europe","Finland",61.6128711,28.781072
"676","Butterfly and Moth Conservation",2005,"CI","Europe","Finland",61.6128711,28.781072
"677","Bird Conservation",2002,"CI","Europe","United Kingdom",52.740123,-1.140592
"677","Farmland Conservation",2002,"CI","Europe","United Kingdom",52.740123,-1.140592
"682","Butterfly and Moth Conservation",1996,"CI","North America","United States",40.714353,-74.005973
"688","Butterfly and Moth Conservation",1987,"CI","Europe","United Kingdom",51.260145,0.84428
"691","Farmland Conservation",1985,"CI","Europe","United Kingdom",50.692718,-1.31671
"691","Bird Conservation",1985,"CI","Europe","United Kingdom",50.692718,-1.31671
"693","Butterfly and Moth Conservation",2001,"CI","North America","United States",40.6331249,-89.3985283
"694","Peatland Conservation",1985,"Rand.exp.","Europe","United Kingdom",52.31,0.28
"694","Peatland Conservation",1985,"BA","Europe","United Kingdom",52.31,0.28
"697","Peatland Conservation",1985,"CI","Europe","United Kingdom",55.994235,-5.444033
"702","Shrubland and Heathland Conservation",1984,"Rand.exp.","Europe","United Kingdom",52.276193,0.096538
"702","Shrubland and Heathland Conservation",1984,"CI","Europe","United Kingdom",52.276193,0.096538
"708","Shrubland and Heathland Conservation",1983,"BA","Europe","The Netherlands",52.947601,6.623059
"708","Farmland Conservation",1983,"After","Europe","The Netherlands",52.947601,6.623059
"717","Bird Conservation",1982,"After","Europe","Sweden",0,0
"719","Marsh and Swamp Conservation",1982,"CI","Europe","The Netherlands",52.527978,5.595351
"720","Butterfly and Moth Conservation",2007,"CI","North America","United States",43.78444,-88.787868
"721","Marsh and Swamp Conservation",1982,"BACI","Europe","The Netherlands",52.527978,5.595351
"722","Natural Pest Control",1981,"Rand.exp.","Europe","United Kingdom",52.276193,0.096538
"723","Farmland Conservation",1981,"After","Europe","Ireland",53.159829,-6.908997
"723","Natural Pest Control",1981,"After","Europe","Ireland",53.159829,-6.908997
"728","Bird Conservation",1980,"CI","Asia","Israel",31.125859,34.810273
"729","Terrestrial Mammal Conservation",1980,"CI","North America","Canada",50.9474302,-120.8663957
"733","Natural Pest Control",1979,"Rand.exp.","Europe","United Kingdom",52.276193,0.096538
"745","Marsh and Swamp Conservation",2007,"After","Oceania","Australia",-37.471308,144.785153
"746","Marsh and Swamp Conservation",2006,"After","North America","United States",36.778261,-119.417932
"746","Marsh and Swamp Conservation",2006,"CI","North America","United States",36.778261,-119.417932
"746","Marsh and Swamp Conservation",2006,"CI","North America","United States",36.778261,-119.417932
"746","Marsh and Swamp Conservation",2006,"Rand.exp.","North America","United States",36.778261,-119.417932
"749","Bird Conservation",1974,"CI","Europe","United Kingdom",51.058701,-2.949907
"757","Bird Conservation",2004,"BA","North America","United States",36.778261,-119.417932
"760","Bird Conservation",2002,"BA","Asia","Japan",36.441634,139.771896
"761","Farmland Conservation",1972,"After","Europe","United Kingdom",51.782544,-3.672088
"770","Farmland Conservation",1970,"After","Europe","United Kingdom",0,0
"770","Bee Conservation",1970,"After","Europe","United Kingdom",0,0
"777","Farmland Conservation",2007,"After","Europe","United Kingdom",52.613969,0.886402
"778","Bee Conservation",2007,"CI","Europe","United Kingdom",0,0
"778","Farmland Conservation",2007,"CI","Europe","United Kingdom",0,0
"780","Natural Pest Control",2007,"Rand.exp.","Europe","United Kingdom",50.777213,-3.999461
"780","Farmland Conservation",2007,"Rand.exp.","Europe","United Kingdom",50.777213,-3.999461
"781","Bird Conservation",2007,"CI","Europe","The Netherlands",0,0
"781","Farmland Conservation",2007,"CI","Europe","The Netherlands",0,0
"782","Farmland Conservation",2007,"Rand.exp.","Europe","United Kingdom",51.80722,-0.812766
"782","Grassland Conservation",2007,"Rand.exp.","Europe","United Kingdom",51.80722,-0.812766
"784","Farmland Conservation",2007,"CI","Europe","United Kingdom",0,0
"784","Bird Conservation",2007,"CI","Europe","United Kingdom",0,0
"786","Shrubland and Heathland Conservation",2007,"Rand.exp.","Europe","United Kingdom",52.3630607,0.7908014
"787","Marsh and Swamp Conservation",2004,"BACI","North America","United States",27.664827,-81.515754
"788","Farmland Conservation",2007,"After","Europe","Switzerland",47.387666,8.255429
"788","Bee Conservation",2007,"After","Europe","Switzerland",47.387666,8.255429
"788","Butterfly and Moth Conservation",2007,"CI","Europe","Switzerland",47.387666,8.255429
"792","Bird Conservation",2007,"After","Europe","United Kingdom",0,0
"792","Farmland Conservation",2007,"After","Europe","United Kingdom",0,0
"793","Bird Conservation",1993,"Rand.exp.","Europe","Norway",NA,NA
"796","Bird Conservation",2007,"After","Europe","Sweden",0,0
"798","Reptile Conservation",2007,"BACI","Oceania","New Zealand",-35.891068,174.7302503
"799","Terrestrial Mammal Conservation",2007,"CI","Africa","Tanzania",-2.1495726,34.6828378
"803","Terrestrial Mammal Conservation",2006,"CI","North America","United States",36.8919393,-104.9815317
"809","Terrestrial Mammal Conservation",2005,"After","Asia","Israel",33.0426293,35.1743474
"811","Terrestrial Mammal Conservation",2003,"CI","North America","United States",43.78444,-88.787868
"811","Terrestrial Mammal Conservation",2003,"BACI","North America","United States",43.78444,-88.787868
